"OG","Regression_Coefficient","P_value","Lambda","Bound_used","R_squared","R_squared_adj","n","Status","Contrast"
"OG0000000_00",-0.00398942066751734,0.600380389243447,1,"1e-05 to 1",0.00171902919322357,-0.00408492993937393,174,"success","pgls5_castespolymorphic"
"OG0000001_00",0.00441887402587774,0.416607217422258,1e-05,"1e-05 to 1",0.00681455365360558,0.00104021966321954,174,"success","pgls5_castespolymorphic"
"OG0000001_01",-0.00837202251922554,0.351075265091373,1e-05,"1e-05 to 1",0.00798230165115373,0.00221475689331163,174,"success","pgls5_castespolymorphic"
"OG0000001_02",-0.00202644881541009,0.531080209836179,1e-05,"1e-05 to 1",0.00389605966735427,-0.00189524231132387,174,"success","pgls5_castespolymorphic"
"OG0000002_00",0.00059559952540213,0.886814122646946,1,"1e-05 to 1",0.000228893436196896,-0.0055837292763834,174,"success","pgls5_castespolymorphic"
"OG0000003_00",0.00789639269115872,0.69781889786369,0.606446880478747,"1e-05 to 1",0.00128215066721899,-0.00452434845680871,174,"success","pgls5_castespolymorphic"
"OG0000005_01",-0.00836264931979355,0.376989783337715,1,"1e-05 to 1",0.0078133621555301,0.00204483519131815,174,"success","pgls5_castespolymorphic"
"OG0000006_00",-0.00190904622717265,0.867292442438249,1,"1e-05 to 1",0.000292329688169715,-0.00551992420899206,174,"success","pgls5_castespolymorphic"
"OG0000006_01",-0.0148616930380183,0.294416438838643,0.846483459371252,"1e-05 to 1",0.00972397222492445,0.00396655345879027,174,"success","pgls5_castespolymorphic"
"OG0000006_02",-0.020216257727637,0.12228534649807,0.990887665135555,"1e-05 to 1",0.0191484500109107,0.0134458247202766,174,"success","pgls5_castespolymorphic"
"OG0000006_03",-0.00141579435396399,0.866637262139064,0.716248464437169,"1e-05 to 1",0.000345957481751815,-0.00546598462591241,174,"success","pgls5_castespolymorphic"
"OG0000007_00",0.00369357715792064,0.5470342503705,1e-05,"1e-05 to 1",0.00387111107293938,-0.00192033595570629,174,"success","pgls5_castespolymorphic"
"OG0000008_00",-0.00511207656107889,0.55564883878527,1,"1e-05 to 1",0.00305515101054818,-0.00274103997194852,174,"success","pgls5_castespolymorphic"
"OG0000010_00",0.000170482255368216,0.984299726722118,1e-05,"1e-05 to 1",4.2789205455051e-06,-0.00580964969038145,174,"success","pgls5_castespolymorphic"
"OG0000010_01",-0.0306353095359774,0.0578641927924832,0.158907351108026,"1e-05 to 1",0.042168053966876,0.0365992635829625,174,"success","pgls5_castespolymorphic"
"OG0000011_00",-0.00741466457197688,0.325828161497834,1,"1e-05 to 1",0.00937424880545775,0.00361479676362897,174,"success","pgls5_castespolymorphic"
"OG0000012_00",-0.00465225260093257,0.666980255287843,1e-05,"1e-05 to 1",0.00116748052234192,-0.00463968528857461,174,"success","pgls5_castespolymorphic"
"OG0000017_00",-0.0033095159088649,0.798420516091163,0.577127252930373,"1e-05 to 1",0.00049588067182868,-0.0053151897893815,174,"success","pgls5_castespolymorphic"
