"OG","Regression_Coefficient","P_value","Lambda","Bound_used","R_squared","R_squared_adj","n","Status","Contrast"
"OG0000000_00",-0.0271150181410572,0.404853827771462,0.860841372798576,"1e-05 to 1",0.00434075798913284,-0.0014144977450341,175,"success","pgls3_cocoonpresent"
"OG0000001_00",-0.0328565407915651,0.462901017548631,0.871633825759106,"1e-05 to 1",0.00556850460830772,-0.000179654324592216,175,"success","pgls3_cocoonpresent"
"OG0000001_01",0.00286374322002942,0.948996348915047,0.777750126702646,"1e-05 to 1",3.77113475915771e-05,-0.00574241748854964,175,"success","pgls3_cocoonpresent"
"OG0000001_02",0.0771894375229472,0.000668109251749982,1e-05,"1e-05 to 1",0.108791153587244,0.103639657365204,175,"success","pgls3_cocoonpresent"
"OG0000002_00",0.030566208587194,0.312628795967345,0.57166166096605,"1e-05 to 1",0.0114538482426181,0.00573970863708406,175,"success","pgls3_cocoonpresent"
"OG0000003_00",-0.0212919272326379,0.597614241822031,0.600545984937775,"1e-05 to 1",0.00236830987193171,-0.00339834729643851,175,"success","pgls3_cocoonpresent"
"OG0000005_01",-0.0903266492156269,0.087125709000093,0.845760453087836,"1e-05 to 1",0.0289849214234811,0.0233721175010735,175,"success","pgls3_cocoonpresent"
"OG0000006_00",0.0621350179161928,0.34465862703777,0.859838410980572,"1e-05 to 1",0.00930730684956667,0.00358075949031567,175,"success","pgls3_cocoonpresent"
"OG0000006_01",-0.0139417842828347,0.740982936575323,0.897141284886014,"1e-05 to 1",0.000970759454145363,-0.00480397604033933,175,"success","pgls3_cocoonpresent"
"OG0000006_02",0.00627433730633477,0.766165556215784,1e-05,"1e-05 to 1",0.00071587785338728,-0.00506033094514802,175,"success","pgls3_cocoonpresent"
"OG0000006_03",0.0757725970457218,0.000788036792068514,1e-05,"1e-05 to 1",0.129127783687969,0.124093840241079,175,"success","pgls3_cocoonpresent"
"OG0000007_00",-0.00473874724355879,0.929836748111029,0.716848962252668,"1e-05 to 1",8.2913493370999e-05,-0.00569695405869042,175,"success","pgls3_cocoonpresent"
"OG0000008_00",-0.0276569645581272,0.455113987536677,0.933276390323675,"1e-05 to 1",0.00490316282286627,-0.000848842016307971,175,"success","pgls3_cocoonpresent"
"OG0000010_00",0.118764843089852,0.0446065965555622,0.590539980124025,"1e-05 to 1",0.0435884139493213,0.0380600232785082,175,"success","pgls3_cocoonpresent"
"OG0000010_01",0.00939346998764738,0.898483098878956,0.897281844517658,"1e-05 to 1",0.000194900791748784,-0.00558431943488835,175,"success","pgls3_cocoonpresent"
"OG0000011_00",0.0541874237627704,0.183872396408765,0.537894498756807,"1e-05 to 1",0.017081797181168,0.0114001890723887,175,"success","pgls3_cocoonpresent"
"OG0000012_00",0.0172187105915473,0.555424155472326,0.543870901140081,"1e-05 to 1",0.00219120617556267,-0.00357647471359579,175,"success","pgls3_cocoonpresent"
"OG0000017_00",-0.0281072527685151,0.394713273130852,0.930267327431038,"1e-05 to 1",0.00549334537726214,-0.000255248002060116,175,"success","pgls3_cocoonpresent"
"OG0000019_00",-0.0564315205805661,0.23423045450435,0.912031133251907,"1e-05 to 1",0.0138437807332235,0.00814345576636366,175,"success","pgls3_cocoonpresent"
"OG0000020_00",0.00492064087746116,0.834216990083247,1,"1e-05 to 1",0.00046343006747687,-0.00531423796681518,175,"success","pgls3_cocoonpresent"
"OG0000020_01",0.0211175129588821,0.537892096208388,1,"1e-05 to 1",0.00262256173997175,-0.00314262576442137,175,"success","pgls3_cocoonpresent"
"OG0000024_00",0.0079363071624537,0.741777013266906,1,"1e-05 to 1",0.000684752018181125,-0.00509163669847679,175,"success","pgls3_cocoonpresent"
"OG0000025_00",-0.0341260729666926,0.533386814902263,0.534259615018768,"1e-05 to 1",0.00447467265680629,-0.00127980900413704,175,"success","pgls3_cocoonpresent"
"OG0000025_01",0.0731776857468463,0.0820579118360358,0.902442280334139,"1e-05 to 1",0.0190145666522083,0.0133441306212962,175,"success","pgls3_cocoonpresent"
"OG0000027_00",-0.0834312034291107,0.171202438332196,0.880169630142873,"1e-05 to 1",0.0163611814967508,0.0106754079793909,175,"success","pgls3_cocoonpresent"
"OG0000029_00",0.0217195221139461,0.512194454710817,1,"1e-05 to 1",0.00381117656148156,-0.00194714033700705,175,"success","pgls3_cocoonpresent"
"OG0000029_01",-0.0690350396663259,0.660167980827998,1,"1e-05 to 1",0.0022851484247312,-0.00348198944564615,175,"success","pgls3_cocoonpresent"
"OG0000029_02",0.00981469293526421,0.757726854537789,1,"1e-05 to 1",0.000816414274113318,-0.00495921338904215,175,"success","pgls3_cocoonpresent"
"OG0000029_03",0.00648189957394905,0.816747557613291,1,"1e-05 to 1",0.000453048469578856,-0.00532467957394966,175,"success","pgls3_cocoonpresent"
"OG0000033_00",-0.0302924334030548,0.597029050572456,0.740489683427106,"1e-05 to 1",0.00277719442542354,-0.002987099248418,175,"success","pgls3_cocoonpresent"
"OG0000034_00",0.018906321888245,0.69364666839222,0.877020973190354,"1e-05 to 1",0.0014837220590395,-0.00428804833368268,175,"success","pgls3_cocoonpresent"
