OG0000385_00	GO:0003735,GO:0005840,GO:0006412,GO:0003723,GO:0022627
OG0005579_00	GO:0030514,GO:0000978,GO:0046332,GO:0000981,GO:0005634,GO:0005667,GO:0000122,GO:0005737
OG0006145_00	GO:0005777,GO:0043231,GO:0080019,GO:0035336
OG0004055_00	GO:0006915,GO:0008285,GO:0043065,GO:0060090,GO:0005829,GO:0035329,GO:0042127
OG0000653_00	GO:0045944,GO:0010468,GO:0005634
OG0004389_00	GO:0031201,GO:0048278,GO:0006886,GO:0005484,GO:0012505,GO:0006906,GO:0000149
OG0001426_00	GO:0097352,GO:0030970,GO:0005634,GO:0051228,GO:0005829,GO:0031593,GO:0034098,GO:0016887
OG0006052_00	GO:0005634,GO:0006338,GO:0031011
OG0000667_00	GO:0005739,GO:0003924,GO:0005525
OG0004141_00	GO:0005788,GO:0016491
OG0006477_00	GO:0043161,GO:0005737,GO:0031463,GO:0097602
OG0006349_00	GO:0000978,GO:0000981,GO:0006357,GO:0005634,GO:0005667
OG0000202_00	GO:0005811,GO:0005739,GO:0005886,GO:0009247
OG0010531_00	GO:0030659,GO:0042626,GO:0016020,GO:0005886,GO:0055085
OG0003481_00	GO:0005737
OG0009740_00	GO:0016020,GO:0005216,GO:0004888,GO:0034220
OG0002895_00	GO:0042765,GO:0016255,GO:0003923
OG0000109_00	GO:0004252
OG0007358_00	GO:0006357,GO:0000981,GO:0000978
OG0005028_00	GO:0061630,GO:0043161,GO:0012505
OG0003985_00	GO:1990904,GO:0003729,GO:0005829
OG0007233_00	GO:0015179,GO:0016020,GO:0003333
OG0000778_00	GO:0004452,GO:0005737,GO:0009240
OG0001532_01	GO:0005942,GO:0046854,GO:0048015,GO:0052742,GO:0016303,GO:0005886,GO:0036092,GO:0016020,GO:0005737,GO:0016477,GO:0035005,GO:0043491
OG0004420_00	GO:0005737,GO:0002084,GO:0008474,GO:0052689
OG0006905_00	GO:0006750,GO:0035226,GO:0030234,GO:0035229,GO:0017109
OG0001980_00	GO:0004930,GO:0005886,GO:0071880,GO:0043410
OG0009272_00	GO:0016020,GO:0038023,GO:0030177,GO:0009897
OG0005840_00	GO:0005747,GO:0005743,GO:0006120,GO:0042773
OG0001699_00	GO:0048812,GO:0007417,GO:0021520,GO:0005634,GO:1990837
OG0005949_00	GO:0000978,GO:0006357,GO:0000981,GO:0005634,GO:0000977
OG0001570_00	GO:0045893,GO:0016514
OG0008173_00	GO:0005886,GO:0007608,GO:0050911,GO:0016020,GO:0005549,GO:0004984
OG0008836_00	GO:0006357,GO:0005634,GO:0008360,GO:0007010
OG0003809_00	GO:0016020,GO:0005886
OG0002518_00	GO:0016768,GO:0006597
OG0003135_00	GO:0016567,GO:0043022,GO:0072344,GO:0061630
OG0000372_00	GO:0007052,GO:0051231,GO:0003777,GO:0007018,GO:0005875
OG0004463_00	GO:0007034,GO:0005737,GO:0006886
OG0006573_00	GO:0060090,GO:0005085,GO:0032008
OG0000052_00	GO:0005886,GO:0004984,GO:0016020,GO:0007608,GO:0050911,GO:0005549
OG0009460_00	GO:0035025
OG0009118_00	GO:0006888,GO:0030126,GO:0006886,GO:0006891,GO:0005737
OG0009231_00	GO:0003682,GO:0031519,GO:0000151,GO:0061630
OG0002678_00	GO:0002143,GO:0016779,GO:0005737,GO:0032447,GO:0042292,GO:0004792
OG0009162_00	GO:0045948,GO:0070935,GO:0008494,GO:0005737,GO:0003730
OG0003407_00	GO:1905202,GO:0004485,GO:0006552,GO:0005739
OG0002813_00	GO:0000724,GO:0005813,GO:0000400,GO:0033063,GO:0006281,GO:0042148,GO:0005657
OG0007582_00	GO:0005829,GO:0006144,GO:0004001,GO:0005634,GO:0006166
OG0001791_00	GO:0045505,GO:0007018,GO:0051959,GO:0005858,GO:0030286
OG0002354_00	GO:0071942,GO:0003697,GO:0006289,GO:0003684,GO:0005737,GO:0000111,GO:0005634,GO:0006298
OG0002602_00	GO:0002020,GO:0031011
OG0000860_00	GO:0005634,GO:0010468
OG0004590_00	GO:0050660,GO:0016491
OG0004520_00	GO:0005747,GO:0006120
OG0004968_00	GO:0008378,GO:0030166,GO:0005794,GO:0046525,GO:0070085,GO:0016757,GO:0005975
OG0000418_00	GO:0016020,GO:0055085,GO:0042626
OG0004115_00	GO:0005886,GO:0004439,GO:0005737,GO:0001726,GO:0046856
OG0001840_00	GO:0006631,GO:0005739,GO:0016746,GO:0004095,GO:0009437
OG0000609_00	GO:0006357,GO:0003729,GO:0032044,GO:0032784,GO:0006368
OG0001488_00	GO:0016192
OG0004357_00	GO:0016020,GO:0030322,GO:0071805,GO:0005886,GO:0005267,GO:0022841,GO:0015271
OG0001581_00	GO:0005283,GO:0006865,GO:0035725,GO:0016020,GO:0015179,GO:0071705,GO:0005886,GO:0089718
OG0004821_00	GO:0005096,GO:0031267,GO:0043087
OG0010565_00	GO:0033192,GO:0097720
OG0009555_00	GO:0008080
OG0000008_00	GO:0005886,GO:0005549,GO:0007608,GO:0050911,GO:0004984,GO:0016020
OG0000707_00	GO:0006635,GO:0005739
OG0004004_00	GO:0004555,GO:0005993,GO:0005991
OG0006114_00	GO:0006457,GO:0005737
OG0003197_00	GO:0003723
OG0001518_00	GO:0003333,GO:0016020,GO:0015179,GO:0005774
OG0005653_00	GO:0015031
OG0008034_00	GO:0016020,GO:0005549,GO:0004984,GO:0005886,GO:0050911,GO:0007608
OG0001309_00	GO:0043130,GO:0036503,GO:0005634,GO:0005783
OG0005305_00	GO:0016035
OG0002784_00	GO:0046872,GO:0017183
OG0001244_00	GO:0050684,GO:0005739,GO:0007275,GO:0007005,GO:0003723
OG0001631_00	GO:0016717,GO:0004768,GO:0005789,GO:0005506,GO:0006636
OG0001690_00	GO:0006520,GO:0004058,GO:0016831,GO:0005737,GO:0006584
OG0008529_00	GO:0034625,GO:0016020,GO:0030148,GO:0005789,GO:0019367,GO:0042761,GO:0009922,GO:0034626
OG0001579_00	GO:0000723,GO:0003677,GO:0042162,GO:0007004,GO:0003720,GO:0003721,GO:0070034,GO:0000333
OG0002336_00	GO:0000978,GO:0004879,GO:0009888,GO:0006357,GO:0003677,GO:0090575,GO:0009755
OG0000290_01	GO:0004842,GO:0016567
OG0002765_00	GO:0140575
OG0006621_00	GO:0015347,GO:0016020,GO:0043252,GO:0016323,GO:0055085
OG0010561_00	GO:0006508,GO:0070573
OG0004353_00	GO:0003677,GO:0006352
OG0006423_00	GO:0004601,GO:0006979
OG0010428_00	GO:0016020
OG0007632_00	GO:0003735,GO:0005840,GO:0005762
OG0005322_00	GO:0005886,GO:0007169,GO:0004714,GO:0043235,GO:0033674,GO:0007275,GO:0017147
OG0008053_00	GO:0015718,GO:0008028
OG0005120_00	GO:0006383,GO:0005666
OG0004497_00	GO:0017147,GO:0060070,GO:0005886,GO:0035567,GO:0042813
OG0001223_00	GO:0003677,GO:0034245,GO:0006351,GO:0001018,GO:0006390,GO:0003899
OG0006587_00	GO:0000139,GO:0006621,GO:0006890,GO:0016020
OG0007030_00	GO:0000062
OG0008242_00	GO:0005769,GO:0099518
OG0008085_00	GO:0005680,GO:0031145,GO:0007346,GO:0070979
OG0004687_00	GO:0016020
OG0003431_00	GO:0005789,GO:0120015,GO:0005886,GO:0032366,GO:0140268,GO:0032934
OG0002735_00	GO:0090537,GO:0006338
OG0010264_00	GO:0035099
OG0006075_00	GO:0010564,GO:0030182,GO:0000122,GO:0017053,GO:0001227,GO:0000978,GO:0003700,GO:0005634
OG0005629_00	GO:0005737,GO:0005085
OG0005526_00	GO:0006879,GO:0006880,GO:0005737,GO:0006826,GO:0008198,GO:0008199
OG0005830_00	GO:0005634,GO:0070536,GO:0090307,GO:0031593,GO:0008608,GO:0008017
OG0001333_00	GO:0016020,GO:0042626,GO:0055085
OG0001500_00	GO:0006516,GO:0004567
OG0009413_00	GO:0007166,GO:0007173,GO:0048018,GO:0005154
OG0004748_00	GO:0005634,GO:0008541,GO:0005829,GO:0006511,GO:0005198
OG0000061_00	GO:0016405
OG0003262_00	GO:0003723,GO:0005730,GO:0030490
OG0003954_00	GO:0007165
OG0002027_00	GO:0008194
OG0005124_00	GO:0030166,GO:0005509,GO:0045134,GO:0017110,GO:0004382
