GCF_003254395.2	Apis_mellifera	Apimel
GCA_905332935.1	Bombus_hortorum	Bomhor
GCA_907165295.1	Nomada_fabriciana	Nomfab
GCF_907164935.1	Osmia_bicornis	Osmbic
GCA_916610255.1	Lasioglossum_lativentre	Laslat
GCA_910591515.1	Cerceris_rybyensis	Cerryb
GCA_910591585.1	Nysson_spinosus	Nysspi
GCA_019049445.1	Ampulex_compressa	Ampcom
