"OG","Regression_Coefficient","P_value","Lambda","Bound_used","R_squared","R_squared_adj","n","Status","Contrast"
"OG0000000_00",-0.0126362758347936,0.437124783127281,0.647923598981581,"1e-05 to 1",0.00377851711594647,-0.00201346824965842,174,"success","pgls5_castespolymorphic"
"OG0000001_00",0.0104944503105701,0.739047038446097,0.812808036904938,"1e-05 to 1",0.00114922975958529,-0.00465804216041699,174,"success","pgls5_castespolymorphic"
"OG0000001_01",0.056094465882369,0.0667186852076742,0.798419566291278,"1e-05 to 1",0.0305099749598781,0.0248734050468542,174,"success","pgls5_castespolymorphic"
"OG0000001_02",0.012294655350346,0.640797675655538,0.853386330143318,"1e-05 to 1",0.0021638004569621,-0.00363757279619503,174,"success","pgls5_castespolymorphic"
"OG0000002_00",-0.00418756059850661,0.881398656625579,1e-05,"1e-05 to 1",0.000251484862897111,-0.00556100650417912,174,"success","pgls5_castespolymorphic"
"OG0000003_00",0.0179937212883285,0.455081832340053,0.652125778103318,"1e-05 to 1",0.00473732025172482,-0.00104909067704417,174,"success","pgls5_castespolymorphic"
"OG0000005_01",0.0729299354664611,0.0324345722440817,1,"1e-05 to 1",0.04494107771772,0.0393884095649162,174,"success","pgls5_castespolymorphic"
"OG0000006_00",0.0496125016774029,0.184536730632704,0.895808943492577,"1e-05 to 1",0.0182673812378115,0.0125596334543103,174,"success","pgls5_castespolymorphic"
"OG0000006_01",-0.000845850994310902,0.974773364086332,0.697844413364,"1e-05 to 1",8.88841987954221e-06,-0.00580501339163275,174,"success","pgls5_castespolymorphic"
"OG0000006_02",-0.0348027331172762,0.240371276974666,0.919324287159655,"1e-05 to 1",0.0110990691167316,0.00534964509996838,174,"success","pgls5_castespolymorphic"
"OG0000006_03",-0.0759487461254298,0.00715712033152949,1e-05,"1e-05 to 1",0.0849202815304535,0.0796000506091189,174,"success","pgls5_castespolymorphic"
"OG0000007_00",-0.0183822081812622,0.610224382806507,1,"1e-05 to 1",0.00277522512300108,-0.00302259333558608,174,"success","pgls5_castespolymorphic"
"OG0000008_00",0.00676176387796939,0.796135708702402,0.880045700055096,"1e-05 to 1",0.000587886967789214,-0.00522264857309573,174,"success","pgls5_castespolymorphic"
"OG0000010_00",0.0818541642769276,0.00308390421366411,0.366386571922827,"1e-05 to 1",0.0922246233873142,0.0869468595697985,174,"success","pgls5_castespolymorphic"
"OG0000010_01",0.0135841307627297,0.582311096562942,0.976179754280515,"1e-05 to 1",0.00361628739855574,-0.00217664116308058,174,"success","pgls5_castespolymorphic"
