"OG" "Regression_Coefficient" "P_value" "Lambda" "Bound_used" "R_squared" "R_squared_adj" "n" "Status" "Contrast" "motivo"
"OG0003257_00" 0.136025161236925 3.07320080494833e-09 1e-05 "1e-05 to 1" 0.315993647630744 0.312016866512318 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0006026_00" 0.054277727709941 2.5011173401257e-06 1 "1e-05 to 1" 0.128241594747002 0.123173231925763 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0009084_00" 0.0152561612513945 8.49538695346652e-06 1 "1e-05 to 1" 0.136090873119795 0.131068145637933 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0000711_00" 0.0442787538338602 2.02512677960343e-05 0.397434057047501 "1e-05 to 1" 0.133759769860747 0.12872348945296 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0003082_00" 0.0542493429229039 4.03383569342886e-05 1 "1e-05 to 1" 0.0991031420659059 0.0938653696360564 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0006423_00" 0.0536942714338773 4.65446905479894e-05 0.653052142562305 "1e-05 to 1" 0.0981645038684334 0.0929212742397615 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0000391_00" 0.0793165483090515 6.79923313409159e-05 0.33062131033592 "1e-05 to 1" 0.0975920799326961 0.0923455222578863 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0006903_00" 0.0362899252191272 7.5597386123949e-05 1e-05 "1e-05 to 1" 0.0935434850434512 0.0882733890262618 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0002003_00" 0.0261748216686552 7.6674654392761e-05 1 "1e-05 to 1" 0.093391405765643 0.088120425566606 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0004807_00" 0.0618769022608888 8.09810125241839e-05 0.963467897842584 "1e-05 to 1" 0.0933612353242567 0.0880900797156769 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0005109_00" 0.0326207334473352 8.16382179202879e-05 1 "1e-05 to 1" 0.0916232319231562 0.0863419716436398 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0003114_00" 0.0333848581590689 9.24755316089598e-05 1 "1e-05 to 1" 0.0919254699401368 0.0866459668583934 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0001388_00" -0.036398474092867 0.000109166771135705 1 "1e-05 to 1" 0.0885313115577794 0.0832320749970689 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0008543_00" 0.0492878515387905 0.000113248588646142 1e-05 "1e-05 to 1" 0.0954757213779439 0.090216859292932 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0007902_00" 0.0189506981663809 0.000115602568125928 1 "1e-05 to 1" 0.0900503758310219 0.0847599710393417 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0004844_00" -0.0780904384595171 0.000124330945728168 1 "1e-05 to 1" 0.0876641648448993 0.0823598867335325 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0002814_00" 0.0392542227353466 0.000124878846560206 0.934242826693763 "1e-05 to 1" 0.0881413857519022 0.0828398821806924 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0004040_00" -0.034452820894808 0.000125412794551583 1 "1e-05 to 1" 0.0891625967127505 0.0838670304145689 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0005042_00" 0.0143322502718192 0.000147647176869325 1 "1e-05 to 1" 0.0868559091313578 0.0815469318588657 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0001546_00" 0.0402001276043948 0.000162475516695348 1 "1e-05 to 1" 0.0858174602854227 0.0805024455196403 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0006548_00" 0.0387833844609714 0.000163904627604516 1 "1e-05 to 1" 0.0847008570467395 0.0793793504016624 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0000347_00" 0.0834012481543932 0.000181942156429304 1 "1e-05 to 1" 0.10561603908039 0.100416132330857 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0001726_00" 0.0688352015723208 0.000188204773895695 0.554856139428299 "1e-05 to 1" 0.0827236102148112 0.0773906079486183 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0007594_00" 0.0331827146091828 0.00024897189462969 1 "1e-05 to 1" 0.0816743610942525 0.0763352585424749 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0006539_00" 0.0413143246565818 0.000285075411849078 1e-05 "1e-05 to 1" 0.0792283738505079 0.0738750504426621 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0004740_00" 0.030982725467103 0.000285602188690337 0.184352614266736 "1e-05 to 1" 0.0787348794412277 0.0733786868798395 174 "success" "pgls5_castespolymorphic" "MA2244.1"
"OG0009078_00" 0.0741208520637669 0.000297549847338097 0.659482578692823 "1e-05 to 1" 0.0920539463783046 0.0867751902525971 174 "success" "pgls5_castespolymorphic" "MA2244.1"
