"OG" "Regression_Coefficient" "P_value" "Lambda" "Bound_used" "R_squared" "R_squared_adj" "n" "Status" "Contrast" "motivo"
"OG0001924_00" 0.0903749254207216 2.43547404465971e-11 1 "1e-05 to 1" 0.256376322437849 0.252052928963651 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0005148_00" 0.0967167097508882 7.69435626324366e-11 1 "1e-05 to 1" 0.233098712561108 0.228639984145766 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0003325_00" 0.101070695803551 9.08147779199453e-09 1 "1e-05 to 1" 0.184944826496698 0.180206133627493 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0006411_00" 0.0931053630742657 4.65899347990018e-08 1 "1e-05 to 1" 0.169721985674154 0.164894787916445 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0003344_00" 0.082059324508406 1.06506294050845e-06 1e-05 "1e-05 to 1" 0.146301189751696 0.141337824575833 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0009418_00" 0.0846616480583499 2.60607053892414e-06 1 "1e-05 to 1" 0.161363640869682 0.15648784808404 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0008276_00" 0.0704082034978138 4.312672592377e-06 1e-05 "1e-05 to 1" 0.126998621072793 0.121923031660426 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0007395_00" 0.0358989028018671 1.62974813466832e-05 1 "1e-05 to 1" 0.110606758703372 0.105435867765601 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0009494_00" 0.0596482262874011 2.09921592801976e-05 1e-05 "1e-05 to 1" 0.13732972291538 0.132314198048609 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0002903_00" 0.091430796823643 2.23739862916794e-05 1e-05 "1e-05 to 1" 0.116213193446729 0.111074898059791 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0002098_00" 0.0486350306915318 2.57698359018566e-05 1 "1e-05 to 1" 0.108280122389363 0.103095704496278 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0005483_00" 0.0831411513723161 2.66362937781928e-05 1 "1e-05 to 1" 0.104718029521981 0.0995129017866436 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0008699_00" 0.102400911252557 2.71541092724537e-05 0.26483187541544 "1e-05 to 1" 0.112517923275828 0.10735814375999 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0004543_00" 0.0514898789121954 4.37746639363468e-05 1e-05 "1e-05 to 1" 0.0988181762743421 0.0935787470666348 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0006120_00" 0.0708376656173713 4.81320657426121e-05 1e-05 "1e-05 to 1" 0.0989780228890615 0.0937395230221374 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0008851_00" 0.0828141835937681 4.97806469637041e-05 0.629299717186062 "1e-05 to 1" 0.10763587185789 0.102447708322181 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0001969_00" 0.131936738581016 6.81795404080532e-05 1e-05 "1e-05 to 1" 0.156012868779552 0.151105966853852 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0007730_00" 0.0638250466355816 8.62636731930877e-05 0.344082884730424 "1e-05 to 1" 0.0932378612631115 0.0879659883634784 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0006791_00" 0.0689279929282617 0.000104682354448382 0.947015726393249 "1e-05 to 1" 0.0900417877876992 0.0847513330655346 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0002939_00" 0.0692171687613355 0.000106221192177625 1e-05 "1e-05 to 1" 0.0898846526199708 0.0845932843212498 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0005459_00" 0.0856559325719725 0.000107333606268911 1e-05 "1e-05 to 1" 0.0908589452539733 0.0855732414473104 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0001468_00" 0.0749326539445911 0.000113730283574753 0.679340138867787 "1e-05 to 1" 0.0880951644968443 0.0827933921974073 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0004377_00" 0.0522951292627382 0.000115914299923192 1e-05 "1e-05 to 1" 0.0878925561739745 0.0825896059191721 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0001288_00" 0.0767228478289674 0.000128896647431542 0.806950382203042 "1e-05 to 1" 0.0888638653330755 0.0835665622245471 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0000746_00" -0.0488619901963247 0.000133621246341198 1 "1e-05 to 1" 0.0863777286922414 0.0810659713009172 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0007855_00" 0.0465131060513895 0.000137596768015946 1e-05 "1e-05 to 1" 0.0897839342599133 0.0844919803893313 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0002802_00" -0.0850434763105022 0.000157861580751373 1 "1e-05 to 1" 0.0856139473217574 0.08029774934107 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0005325_00" 0.0597913822349279 0.00016660597394802 0.441701006473659 "1e-05 to 1" 0.0865893929613045 0.0812788661761958 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0006318_00" 0.0470602885940974 0.000178290197847986 1e-05 "1e-05 to 1" 0.0837979418839138 0.0784711857320762 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0003327_00" 0.0475554720704719 0.000188308113853619 1 "1e-05 to 1" 0.0847268159708982 0.0794054602497988 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0000358_00" 0.0936401375957951 0.000188370176640529 1 "1e-05 to 1" 0.0873758725074971 0.0820699182778896 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0006290_00" 0.0608899788526657 0.000199793983307384 1e-05 "1e-05 to 1" 0.0840799653554747 0.0787548488749833 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0005500_00" 0.0751425724441734 0.000208539903882921 1 "1e-05 to 1" 0.0831068472029255 0.0777760730587566 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0003431_00" 0.0843288421361766 0.000217390190595967 0.498179312673147 "1e-05 to 1" 0.082158897658067 0.0768226121793347 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0000590_00" 0.0639320017021123 0.000236162837305987 1e-05 "1e-05 to 1" 0.0917332249758748 0.0864526041908509 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0005403_00" 0.0582194008139511 0.000253844538798731 1 "1e-05 to 1" 0.0795273028962882 0.0741757174480108 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0001761_00" 0.04134474777674 0.000257233242225929 1 "1e-05 to 1" 0.0798598372701093 0.0745101851612145 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0003335_00" 0.0834003109879046 0.000267450831707317 1 "1e-05 to 1" 0.0804019686295704 0.0750554684471842 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0005212_00" 0.100060247108633 0.000274044200456736 0.615441111738522 "1e-05 to 1" 0.0791791487818813 0.0738255391817759 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0007432_00" 0.112223273947322 0.000281013118938578 0.708129623605789 "1e-05 to 1" 0.0808420489315326 0.0754981073555532 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0002000_00" 0.0800291684831864 0.000286071414155487 1 "1e-05 to 1" 0.0787172238086142 0.0733609285981992 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0008629_00" 0.0764514602279237 0.000315326812707184 0.67315565054781 "1e-05 to 1" 0.0826112251954397 0.0772775695279713 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0003544_00" 0.0414690319030033 0.000322591058635524 1e-05 "1e-05 to 1" 0.0774247721460627 0.0720609626817956 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0000501_00" -0.0678212641817709 0.000323840476202264 1 "1e-05 to 1" 0.0861439084592785 0.0808307916479952 174 "success" "pgls5_castespolymorphic" "MA0216.2"
"OG0002703_00" 0.0919760921547184 0.000324073462482311 0.940512619676699 "1e-05 to 1" 0.0833597723064877 0.0780304686571067 174 "success" "pgls5_castespolymorphic" "MA0216.2"
