"OG" "Regression_Coefficient" "P_value" "Lambda" "Bound_used" "R_squared" "R_squared_adj" "n" "Status" "Contrast" "motivo"
"OG0002194_00" 0.0883620076522888 4.7138520198331e-08 1e-05 "1e-05 to 1" 0.259009910289334 0.254701828372412 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0004805_00" 0.0434642347229628 1.62796097793461e-05 1e-05 "1e-05 to 1" 0.110618494129449 0.105447671420899 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0006854_00" -0.0398716837631089 2.99395312470807e-05 1 "1e-05 to 1" 0.103469561575235 0.0982571753053235 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003962_00" 0.0369055004281026 3.21017692486159e-05 1 "1e-05 to 1" 0.101519232271638 0.0962955068778686 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0000857_00" 0.0401911136471822 4.24637040818965e-05 1e-05 "1e-05 to 1" 0.102787040951501 0.0975706865384278 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0002302_00" 0.0648258684318684 5.08193548336422e-05 1e-05 "1e-05 to 1" 0.15070027010937 0.145762480982099 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0005966_00" 0.0867680320406329 6.6265557612688e-05 1e-05 "1e-05 to 1" 0.0955284463266183 0.0902698907820055 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0000244_00" -0.0471530063060173 8.61756097028099e-05 1 "1e-05 to 1" 0.129133981538882 0.124070807012945 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003665_00" 0.0745425839550026 9.77922375402507e-05 1e-05 "1e-05 to 1" 0.152847160484508 0.147921853278023 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0005046_00" -0.121458058620191 0.000112029653259071 0.921450864812688 "1e-05 to 1" 0.0893112711634085 0.0840165692515679 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0000295_01" -0.0376688201989941 0.000141969401755926 1 "1e-05 to 1" 0.0911243688793894 0.0858402082333394 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0009485_00" -0.0374617398580055 0.000183817347454429 1 "1e-05 to 1" 0.107916942376572 0.102730412971785 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0001182_00" -0.0443820705125219 0.00018413659824601 1 "1e-05 to 1" 0.0839521358417387 0.0786262761663999 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0009996_00" 0.0865437244082604 0.000185960241289695 1e-05 "1e-05 to 1" 0.149102130420672 0.144155049783583 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0009542_00" 0.040787269610964 0.000198273055863396 1e-05 "1e-05 to 1" 0.103682564940493 0.0984714170622401 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0000020_00" -0.0534870460100829 0.000203325129004339 1 "1e-05 to 1" 0.135860780348338 0.130836715117805 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0009767_00" 0.0441948608893321 0.000213640484809208 1 "1e-05 to 1" 0.110103974067548 0.10493015996329 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0001733_00" 0.0342259986080558 0.000257569743227659 1e-05 "1e-05 to 1" 0.118906296555794 0.113783658745072 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0009493_00" 0.0372800881462628 0.000264362465877577 1 "1e-05 to 1" 0.101368259970433 0.0961436568307257 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0005218_00" -0.0329621372152386 0.000268435505710762 1 "1e-05 to 1" 0.079878868192793 0.0745293267287975 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0001083_00" 0.021831649868648 0.000294710335525084 1e-05 "1e-05 to 1" 0.0783972218481378 0.0730390661612084 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0001970_00" 0.0580234573647789 0.000446038497770029 1e-05 "1e-05 to 1" 0.0771746820056104 0.0718094185288988 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003302_00" 0.0388417702562144 0.000472809885468051 1 "1e-05 to 1" 0.0737510619175581 0.0683658936728927 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0009222_00" 0.043872112515366 0.000526779117733245 1 "1e-05 to 1" 0.0886267154822496 0.0833280335955184 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0006024_00" -0.0430517115607937 0.000557543787251369 1 "1e-05 to 1" 0.0719647514112861 0.0665691976404215 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0010333_00" 0.0510248683445583 0.000618212851345223 1 "1e-05 to 1" 0.126706811745351 0.121629525767126 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0005714_00" 0.028937707107104 0.00064365391791199 1e-05 "1e-05 to 1" 0.0726016640112732 0.0672098132206411 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0004488_00" -0.0476738226056235 0.00069500509161724 1 "1e-05 to 1" 0.0691576423583515 0.0637457681860163 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003109_00" 0.0364887887337051 0.000770209649968434 1e-05 "1e-05 to 1" 0.0795262669747619 0.074174675503685 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0002284_00" 0.0299460853955321 0.000784764684499173 0.647363010367609 "1e-05 to 1" 0.0708298936956505 0.0654277419148113 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0005992_00" 0.0282864116282069 0.000799048719252182 1 "1e-05 to 1" 0.0680630810133307 0.0626448431122454 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0002605_00" 0.0487347300648426 0.000838704216445496 0.964130095179368 "1e-05 to 1" 0.0675378101046994 0.0621165183029825 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003236_00" 0.0169459700066423 0.000848862612973456 1e-05 "1e-05 to 1" 0.0678177513384916 0.0623980871020874 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0001575_00" -0.0570615574610953 0.000870195155605824 0.958309548999736 "1e-05 to 1" 0.110678066757712 0.105507590401652 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0004295_00" 0.0241007720052853 0.000897986441483756 1 "1e-05 to 1" 0.0663950897697253 0.0609671542451307 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0001756_00" -0.102422844321131 0.000936870541364598 0.717778353444311 "1e-05 to 1" 0.0659380113480122 0.0605074183907334 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0002958_00" 0.0372886541705474 0.00101280841817042 1 "1e-05 to 1" 0.0654920699028555 0.0600588842627557 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003199_00" 0.0257782872553082 0.00104493529281147 1e-05 "1e-05 to 1" 0.109673817381957 0.104497502366735 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003877_00" 0.0282952178256715 0.00104812601986248 1e-05 "1e-05 to 1" 0.0655173725470894 0.0600843340153863 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0000332_00" 0.059230602168232 0.00107155357687549 0.940376296895355 "1e-05 to 1" 0.074343022610771 0.068961295998043 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0005590_00" 0.0271937417105205 0.00115314119499033 0.435780404529603 "1e-05 to 1" 0.0640846365405299 0.0586432681483235 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003136_00" 0.0359281739893495 0.00118276098348469 1 "1e-05 to 1" 0.0638095571621775 0.0583665894712599 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0000595_00" 0.0303834474343353 0.00122026020532928 1e-05 "1e-05 to 1" 0.0642505059335823 0.0588101018983124 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0000903_00" -0.0591298691009788 0.00123705234013127 0.444226238274327 "1e-05 to 1" 0.0648975731374337 0.059460931120791 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0008799_00" 0.022793773234821 0.00125589101982948 0.93235393120059 "1e-05 to 1" 0.0723801141307826 0.06698697525945 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003404_00" -0.0469973203978753 0.0012676246402088 0.580477220358521 "1e-05 to 1" 0.065440262479673 0.0600067756336246 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0007657_00" 0.0191999274414675 0.00128089727335867 1 "1e-05 to 1" 0.0637182752599043 0.0582747768602526 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0008230_00" 0.051715295101838 0.001336063191135 1 "1e-05 to 1" 0.0687459906321228 0.063331723135798 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0007491_00" 0.0395185597883211 0.00137345663006316 0.711401885806556 "1e-05 to 1" 0.0712733582748845 0.0658737847764826 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003698_00" -0.0281762679393185 0.00138186707518129 1 "1e-05 to 1" 0.0613769510418099 0.055919840292053 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003883_00" 0.0219468362586852 0.00139285913850129 1e-05 "1e-05 to 1" 0.0616618637100342 0.0562064094292787 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0000573_00" 0.0443200632888402 0.00141154477046168 1e-05 "1e-05 to 1" 0.0622697218800964 0.0568178016584692 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0000304_01" 0.0207287233489541 0.00149515964458136 1e-05 "1e-05 to 1" 0.0738196822711385 0.0684349129820172 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0006446_00" 0.0412913399456044 0.0015506288474203 1 "1e-05 to 1" 0.0612445750118653 0.0557866946340273 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0003041_00" -0.0252111966098396 0.0015551942899199 1 "1e-05 to 1" 0.0601103657542837 0.054645891136576 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0004974_00" 0.0296863899284888 0.00156688945937611 1 "1e-05 to 1" 0.0836137795924632 0.0782859527296288 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0002505_00" 0.0340497808403935 0.00156707114080445 0.916540816226782 "1e-05 to 1" 0.0603912939886384 0.0549284526746188 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0001964_00" 0.0426094363548945 0.00157870905084656 1 "1e-05 to 1" 0.0821301711728376 0.0767937186796565 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0002026_00" 0.0152562200735382 0.00164260578740993 0.391707132753589 "1e-05 to 1" 0.060247702957477 0.0547840268118809 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0004482_00" 0.0326476534506682 0.0016491086820023 1 "1e-05 to 1" 0.060572943969345 0.0551111587598644 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0004838_00" 0.0187205928589945 0.00176890088114545 1e-05 "1e-05 to 1" 0.0587304830622476 0.053257985870749 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0010393_00" 0.0475294835030293 0.00196193492934715 1e-05 "1e-05 to 1" 0.108437325166687 0.103253821243237 174 "success" "pgls5_castespolymorphic" "MA2303.1"
"OG0000580_00" -0.039076830542611 0.00202176969515921 1 "1e-05 to 1" 0.0598156761500441 0.0543494882206839 174 "success" "pgls5_castespolymorphic" "MA2303.1"
