R_squared	Analysis_Type	Target_Group	Source_File	GO.ID	Term	Annotated	Significant	Expected	Classic_Fisher
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0015662	P-type ion transporter activity	7	1	0.05	0.0476
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0034389	lipid droplet organization	3	1	0	0.0023
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0030007	cellular potassium ion homeostasis	8	1	0.01	0.0061
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0036376	sodium ion export across plasma membrane	8	1	0.01	0.0061
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0006883	cellular sodium ion homeostasis	8	1	0.01	0.0061
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0019915	lipid storage	9	1	0.01	0.0068
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:1990573	potassium ion import across plasma membrane	14	1	0.01	0.0106
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0099587	inorganic ion import across plasma membrane	21	1	0.02	0.0159
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0098659	inorganic cation import across plasma membrane	21	1	0.02	0.0159
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0098739	import across plasma membrane	32	1	0.02	0.0241
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:1902600	proton transmembrane transport	33	1	0.03	0.0249
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0098657	import into cell	34	1	0.03	0.0256
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0071805	potassium ion transmembrane transport	44	1	0.03	0.0331
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0006813	potassium ion transport	47	1	0.04	0.0353
0.25	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0032501	multicellular organismal process	488	2	0.37	0.0454
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0031638	zymogen activation	1	1	0	0.0017
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0034389	lipid droplet organization	3	1	0.01	0.0051
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0015886	heme transport	5	1	0.01	0.0085
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0036376	sodium ion export across plasma membrane	8	1	0.01	0.0136
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0006883	cellular sodium ion homeostasis	8	1	0.01	0.0136
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0030007	cellular potassium ion homeostasis	8	1	0.01	0.0136
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0140115	export across plasma membrane	8	1	0.01	0.0136
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0070839	metal ion export	9	1	0.02	0.0153
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0019915	lipid storage	9	1	0.02	0.0153
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0055078	sodium ion homeostasis	10	1	0.02	0.017
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0055075	potassium ion homeostasis	13	1	0.02	0.022
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0046856	phosphatidylinositol dephosphorylation	13	1	0.02	0.022
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:1990573	potassium ion import across plasma membrane	14	1	0.02	0.0237
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0046839	phospholipid dephosphorylation	16	1	0.03	0.0271
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0030004	cellular monovalent inorganic cation homeostasis	20	1	0.03	0.0337
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0099587	inorganic ion import across plasma membrane	21	1	0.04	0.0354
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0098659	inorganic cation import across plasma membrane	21	1	0.04	0.0354
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0055067	monovalent inorganic cation homeostasis	28	1	0.05	0.0469
0.25	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0000165	MAPK cascade	29	1	0.05	0.0486
0.40	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	6	0.11	4.9e-08
0.40	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0005615	extracellular space	180	5	0.23	7.1e-07
0.40	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0062129	chitin-based extracellular matrix	29	2	0.04	0.00056
0.40	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008010	structural constituent of chitin-based larval cuticle	29	2	0.01	3.6e-05
0.40	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0062129	chitin-based extracellular matrix	29	2	0.02	8e-05
0.40	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0030312	external encapsulating structure	85	3	0.05	0.01
0.40	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	3	0.05	0.01
0.40	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008010	structural constituent of chitin-based larval cuticle	29	2	0.02	0.00011
0.40	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0004867	serine-type endopeptidase inhibitor activity	13	1	0.01	0.00817
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	34	0.59	5.3e-18
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0005615	extracellular space	180	11	1.24	1.9e-08
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0005391	P-type sodium:potassium-exchanging transporter activity	4	1	0.02	0.021
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008554	P-type sodium transporter activity	4	1	0.02	0.021
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008556	P-type potassium transmembrane transporter activity	4	1	0.02	0.021
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0015662	P-type ion transporter activity	7	1	0.04	0.036
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0140358	P-type transmembrane transporter activity	8	1	0.04	0.041
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	31	0.53	1.2e-14
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0005615	extracellular space	180	9	1.11	9.2e-07
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008554	P-type sodium transporter activity	4	1	0.02	0.023
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008556	P-type potassium transmembrane transporter activity	4	1	0.02	0.023
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0005391	P-type sodium:potassium-exchanging transporter activity	4	1	0.02	0.023
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0015662	P-type ion transporter activity	7	1	0.04	0.039
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0140358	P-type transmembrane transporter activity	8	1	0.05	0.045
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0034389	lipid droplet organization	3	1	0	0.0011
