"motivo" "n_OG_sig" "median_R2_adj" "median_pval" "n_positive_coef" "n_negative_coef" "direction_dominant"
"MA2205.1" 1 0.6842 0.0031 1 0 "polymorphic"
"MA2206.1" 1 0.4526 0.0021 1 0 "polymorphic"
"MA2212.1" 1 0.2855 0 1 0 "polymorphic"
"MA2214.1" 1 0.4341 0.0192 1 0 "polymorphic"
"MA2218.1" 1 0.4452 0.0172 1 0 "polymorphic"
"MA2219.1" 1 0.2788 0.009 1 0 "polymorphic"
"MA2225.1" 1 0.5688 3e-04 1 0 "polymorphic"
"MA2235.1" 1 0.3219 0.0134 1 0 "polymorphic"
"MA2239.1" 1 0.6166 0.0069 1 0 "polymorphic"
"MA2250.1" 1 0.5538 4e-04 1 0 "polymorphic"
"MA2254.1" 1 0.38 0.0061 1 0 "polymorphic"
"MA2261.1" 1 0.3301 0.012 1 0 "polymorphic"
"MA2262.1" 1 0.2914 0 1 0 "polymorphic"
"MA2264.1" 1 0.631 0.002 1 0 "polymorphic"
"MA2270.1" 1 0.4581 0.0308 1 0 "polymorphic"
"MA2272.1" 1 0.3827 0.0059 1 0 "polymorphic"
"MA2277.1" 1 0.3487 0.0418 0 1 "monomorphic"
"MA2279.1" 1 0.2717 0 1 0 "polymorphic"
"MA2282.1" 1 0.3738 0.0067 1 0 "polymorphic"
"MA2284.1" 1 0.5844 2e-04 1 0 "polymorphic"
"MA2286.1" 1 0.551 4e-04 1 0 "polymorphic"
"MA2291.1" 1 0.469 0.0282 1 0 "polymorphic"
"MA2292.1" 1 0.8247 0 1 0 "polymorphic"
"MA2297.1" 1 0.3887 0.0293 0 1 "monomorphic"
"MA2302.1" 1 0.4595 0.0304 1 0 "polymorphic"
"MA2303.1" 1 0.2547 0 1 0 "polymorphic"
"MA2306.1" 1 0.3136 0.0149 0 1 "monomorphic"
"MA2308.1" 1 0.5804 0.0102 0 1 "monomorphic"
"MA2309.1" 1 0.2913 0.0197 1 0 "polymorphic"
"MA2317.1" 1 0.5804 0.0102 0 1 "monomorphic"
"MA2318.1" 1 0.2653 0 1 0 "polymorphic"
"MA2321.1" 1 0.5804 0.0102 0 1 "monomorphic"
"MA2630.1" 1 0.3563 0 1 0 "polymorphic"
